id,data,time
22174,551,2023-10-20 10:33:39.910341
22175,551,2023-10-20 10:33:40.331330
22176,523,2023-10-20 10:33:41.331351
22177,523,2023-10-20 10:33:41.910325
22178,523,2023-10-20 10:33:42.910320
22179,532,2023-10-20 10:33:43.331358
22180,532,2023-10-20 10:33:44.331992
22181,532,2023-10-20 10:33:44.910327
22182,504,2023-10-20 10:33:45.910342
22183,504,2023-10-20 10:33:46.331335
22184,514,2023-10-20 10:33:47.331352
22185,514,2023-10-20 10:33:47.910322
22186,514,2023-10-20 10:33:48.910339
22187,480,2023-10-20 10:33:49.331376
22188,480,2023-10-20 10:33:50.331311
22189,480,2023-10-20 10:33:50.910966
22190,482,2023-10-20 10:33:51.910334
22191,482,2023-10-20 10:33:52.331344
22192,496,2023-10-20 10:33:53.331414
22193,496,2023-10-20 10:33:53.910332
22194,496,2023-10-20 10:33:54.910348
22195,545,2023-10-20 10:33:55.331352
22196,545,2023-10-20 10:33:56.331327
22197,545,2023-10-20 10:33:56.910345
22198,501,2023-10-20 10:33:57.910335
22199,501,2023-10-20 10:33:58.331340
22200,483,2023-10-20 10:33:59.331345
22201,483,2023-10-20 10:33:59.910348
22202,483,2023-10-20 10:34:00.910338
22203,470,2023-10-20 10:34:01.331338
22204,470,2023-10-20 10:34:02.331332
22205,470,2023-10-20 10:34:02.910350
22206,464,2023-10-20 10:34:03.910338
22207,464,2023-10-20 10:34:04.331329
22208,466,2023-10-20 10:34:05.331337
22209,466,2023-10-20 10:34:05.910327
22210,466,2023-10-20 10:34:06.909352
22211,464,2023-10-20 10:34:07.331339
22212,464,2023-10-20 10:34:08.331336
22213,464,2023-10-20 10:34:08.910339
22214,423,2023-10-20 10:34:09.910347
22215,423,2023-10-20 10:34:10.331333
22216,434,2023-10-20 10:34:11.331336
22217,434,2023-10-20 10:34:11.910345
22218,434,2023-10-20 10:34:12.911350
22219,432,2023-10-20 10:34:13.331334
22220,432,2023-10-20 10:34:14.331322
22221,432,2023-10-20 10:34:14.910343
22222,427,2023-10-20 10:34:15.910353
22223,427,2023-10-20 10:34:16.331382
22224,411,2023-10-20 10:34:17.331332
22225,411,2023-10-20 10:34:17.910349
22226,411,2023-10-20 10:34:18.910381
22227,420,2023-10-20 10:34:19.331366
22228,420,2023-10-20 10:34:20.331337
22229,420,2023-10-20 10:34:20.910348
22230,411,2023-10-20 10:34:21.910351
22231,411,2023-10-20 10:34:22.331365
22232,387,2023-10-20 10:34:23.331347
22233,387,2023-10-20 10:34:23.910360
22234,387,2023-10-20 10:34:24.911361
22235,400,2023-10-20 10:34:25.331346
22236,400,2023-10-20 10:34:26.331359
22237,400,2023-10-20 10:34:26.910002
22238,407,2023-10-20 10:34:27.910351
22239,407,2023-10-20 10:34:28.331429
22240,389,2023-10-20 10:34:29.331361
22241,389,2023-10-20 10:34:29.910375
22242,389,2023-10-20 10:34:30.911764
22243,357,2023-10-20 10:34:31.331362
22244,357,2023-10-20 10:34:32.331369
22245,357,2023-10-20 10:34:32.910368
22246,357,2023-10-20 10:34:33.910351
22247,357,2023-10-20 10:34:34.331387
22248,357,2023-10-20 10:34:35.331365
22249,357,2023-10-20 10:34:35.910349
22250,357,2023-10-20 10:34:36.910368
22251,357,2023-10-20 10:34:37.331369
22252,357,2023-10-20 10:34:38.331384
22253,357,2023-10-20 10:34:38.910366
22254,357,2023-10-20 10:34:39.910363
22255,357,2023-10-20 10:34:40.331363
22256,357,2023-10-20 10:34:41.331693
22257,357,2023-10-20 10:34:41.910360
22258,357,2023-10-20 10:34:42.910922
22259,357,2023-10-20 10:34:43.331363
22260,357,2023-10-20 10:34:44.331364
22261,357,2023-10-20 10:34:44.910355
22262,357,2023-10-20 10:34:45.910350
22263,357,2023-10-20 10:34:46.331376
22264,357,2023-10-20 10:34:47.331358
22265,357,2023-10-20 10:34:47.910360
22266,357,2023-10-20 10:34:48.910381
22267,357,2023-10-20 10:34:49.331370
22268,357,2023-10-20 10:34:50.331363
22269,357,2023-10-20 10:34:50.911732
22270,357,2023-10-20 10:34:51.910474
22271,357,2023-10-20 10:34:52.331373
22272,357,2023-10-20 10:34:53.331378
22273,357,2023-10-20 10:34:53.910368
22274,357,2023-10-20 10:34:54.910441
22275,357,2023-10-20 10:34:55.331367
22276,357,2023-10-20 10:34:56.331365
22277,357,2023-10-20 10:34:56.910363
22278,357,2023-10-20 10:34:57.910368
22279,357,2023-10-20 10:34:58.331382
22280,357,2023-10-20 10:34:59.331377
22281,357,2023-10-20 10:34:59.910423
22282,357,2023-10-20 10:35:00.910368
22283,357,2023-10-20 10:35:01.331390
22284,357,2023-10-20 10:35:02.331380
22285,357,2023-10-20 10:35:02.910380
22286,357,2023-10-20 10:35:03.910382
22287,357,2023-10-20 10:35:04.331390
22288,357,2023-10-20 10:35:05.331367
22289,357,2023-10-20 10:35:05.910362
22290,357,2023-10-20 10:35:06.910390
22291,357,2023-10-20 10:35:07.331379
22292,357,2023-10-20 10:35:08.331223
22293,357,2023-10-20 10:35:08.909930
22294,357,2023-10-20 10:35:09.909750
22295,357,2023-10-20 10:35:10.331673
22296,357,2023-10-20 10:35:11.331652
22297,357,2023-10-20 10:35:11.910632
22298,357,2023-10-20 10:35:12.909632
22299,357,2023-10-20 10:35:13.331635
22300,357,2023-10-20 10:35:14.331623
22301,357,2023-10-20 10:35:14.909633
22302,357,2023-10-20 10:35:15.909636
22303,357,2023-10-20 10:35:16.331634
22304,357,2023-10-20 10:35:17.331629
22305,357,2023-10-20 10:35:17.909897
22306,357,2023-10-20 10:35:18.910675
22307,357,2023-10-20 10:35:19.331650
22308,357,2023-10-20 10:35:20.330658
22309,357,2023-10-20 10:35:20.909661
22310,357,2023-10-20 10:35:21.909636
22311,357,2023-10-20 10:35:22.332636
22312,441,2023-10-20 10:35:23.331681
22313,441,2023-10-20 10:35:23.909652
22314,441,2023-10-20 10:35:24.909646
22315,441,2023-10-20 10:35:25.331644
22316,1010,2023-10-20 10:35:26.331641
22317,1010,2023-10-20 10:35:26.909638
22318,1077,2023-10-20 10:35:27.909653
22319,1077,2023-10-20 10:35:28.331673
22320,1077,2023-10-20 10:35:29.331642
22321,994,2023-10-20 10:35:29.909646
22322,994,2023-10-20 10:35:30.909686
22323,994,2023-10-20 10:35:31.331651
22324,933,2023-10-20 10:35:32.331653
22325,933,2023-10-20 10:35:32.909779
22326,933,2023-10-20 10:35:33.911657
22327,933,2023-10-20 10:35:34.331650
22328,933,2023-10-20 10:35:35.331634
22329,922,2023-10-20 10:35:35.909684
22330,922,2023-10-20 10:35:36.910736
22331,922,2023-10-20 10:35:37.331651
22332,930,2023-10-20 10:35:38.331653
22333,930,2023-10-20 10:35:38.909666
22334,986,2023-10-20 10:35:39.909659
22335,986,2023-10-20 10:35:40.331645
22336,986,2023-10-20 10:35:41.331656
22337,986,2023-10-20 10:35:41.909686
22338,986,2023-10-20 10:35:42.909644
22339,986,2023-10-20 10:35:43.331651
22340,938,2023-10-20 10:35:44.331644
22341,938,2023-10-20 10:35:44.909646
22342,938,2023-10-20 10:35:45.909654
22343,1017,2023-10-20 10:35:46.331641
22344,1017,2023-10-20 10:35:47.331655
22345,1000,2023-10-20 10:35:47.909659
22346,1000,2023-10-20 10:35:48.909660
22347,1000,2023-10-20 10:35:49.331669
22348,1000,2023-10-20 10:35:50.330656
22349,1000,2023-10-20 10:35:50.909693
22350,1000,2023-10-20 10:35:51.909665
22351,1000,2023-10-20 10:35:52.332110
22352,1000,2023-10-20 10:35:53.331654
22353,938,2023-10-20 10:35:53.910676
22354,938,2023-10-20 10:35:54.909659
22355,938,2023-10-20 10:35:55.331663
22356,1010,2023-10-20 10:35:56.331998
22357,1010,2023-10-20 10:35:56.909659
22358,944,2023-10-20 10:35:57.909660
22359,944,2023-10-20 10:35:58.331738
22360,944,2023-10-20 10:35:59.330667
22361,976,2023-10-20 10:35:59.910662
22362,976,2023-10-20 10:36:00.909664
22363,624,2023-10-20 10:36:01.331661
22364,624,2023-10-20 10:36:02.331697
22365,624,2023-10-20 10:36:02.909709
22366,934,2023-10-20 10:36:03.910940
22367,934,2023-10-20 10:36:04.332302
22368,711,2023-10-20 10:36:05.331675
22369,711,2023-10-20 10:36:05.911660
22370,711,2023-10-20 10:36:06.909676
22371,834,2023-10-20 10:36:07.330656
22372,834,2023-10-20 10:36:08.331654
22373,834,2023-10-20 10:36:08.909824
22373,756,2023-10-20 10:36:09.909689
22687,756,2023-10-20 10:36:09.909689
22688,756,2023-10-20 10:36:10.330664
22689,756,2023-10-20 10:36:10.909861
22690,478,2023-10-20 10:36:11.331686
22691,478,2023-10-20 10:36:11.909863
22692,478,2023-10-20 10:36:12.332179
22693,478,2023-10-20 10:36:12.909739
22694,462,2023-10-20 10:36:13.330666
22695,462,2023-10-20 10:36:13.909706
22696,462,2023-10-20 10:36:14.331645
22697,462,2023-10-20 10:36:14.909688
22698,617,2023-10-20 10:36:15.331667
22699,617,2023-10-20 10:36:15.909680
22700,617,2023-10-20 10:36:16.331664
22701,617,2023-10-20 10:36:16.909694
22702,899,2023-10-20 10:36:17.331670
22703,899,2023-10-20 10:36:17.909674
